County,State,State_FIPS,County_FIPS,black_population
Autauga County,Alabama,01,001,9755
Baldwin County,Alabama,01,003,16936
Barbour County,Alabama,01,005,12632
Bibb County,Alabama,01,007,5153
Blount County,Alabama,01,009,806
Bullock County,Alabama,01,011,7619
Butler County,Alabama,01,013,9091
Calhoun County,Alabama,01,015,24103
Chambers County,Alabama,01,017,13490
Cherokee County,Alabama,01,019,1283
Chilton County,Alabama,01,021,4169
Choctaw County,Alabama,01,023,6011
Clarke County,Alabama,01,025,10872
Clay County,Alabama,01,027,2213
Cleburne County,Alabama,01,029,552
Coffee County,Alabama,01,031,8565
Colbert County,Alabama,01,033,8785
Conecuh County,Alabama,01,035,5903
Coosa County,Alabama,01,037,3598
Covington County,Alabama,01,039,4735
Crenshaw County,Alabama,01,041,3131
Cullman County,Alabama,01,043,817
Dale County,Alabama,01,045,9884
Dallas County,Alabama,01,047,30207
DeKalb County,Alabama,01,049,1180
Elmore County,Alabama,01,051,15757
Escambia County,Alabama,01,053,12088
Etowah County,Alabama,01,055,15687
Fayette County,Alabama,01,057,1923
Franklin County,Alabama,01,059,1344
Geneva County,Alabama,01,061,2560
Greene County,Alabama,01,063,7489
Hale County,Alabama,01,065,9436
Henry County,Alabama,01,067,4847
Houston County,Alabama,01,069,25519
Jackson County,Alabama,01,071,1829
Jefferson County,Alabama,01,073,276023
Lamar County,Alabama,01,075,1762
Lauderdale County,Alabama,01,077,9379
Lawrence County,Alabama,01,079,3860
Lee County,Alabama,01,081,31610
Limestone County,Alabama,01,083,10591
Lowndes County,Alabama,01,085,8520
Macon County,Alabama,01,087,17754
Madison County,Alabama,01,089,77988
Marengo County,Alabama,01,091,11266
Marion County,Alabama,01,093,1177
Marshall County,Alabama,01,095,1581
Mobile County,Alabama,01,097,141914
Monroe County,Alabama,01,099,9465
Montgomery County,Alabama,01,101,124127
Morgan County,Alabama,01,103,14009
Perry County,Alabama,01,105,7286
Pickens County,Alabama,01,107,8306
Pike County,Alabama,01,109,11773
Randolph County,Alabama,01,111,4833
Russell County,Alabama,01,113,21823
Saint Clair County,Alabama,01,115,7236
Shelby County,Alabama,01,117,20165
Sumter County,Alabama,01,119,10145
Talladega County,Alabama,01,121,26405
Tallapoosa County,Alabama,01,123,11130
Tuscaloosa County,Alabama,01,125,57059
Walker County,Alabama,01,127,3658
Washington County,Alabama,01,129,4446
Wilcox County,Alabama,01,131,8644
Winston County,Alabama,01,133,208
Anchorage Municipality,Alaska,02,020,15844
Bethel Census Area,Alaska,02,050,77
Bristol Bay Borough,Alaska,02,060,1
Fairbanks North Star Borough,Alaska,02,090,4352
Haines Borough,Alaska,02,100,5
Juneau City and Borough,Alaska,02,110,240
Kenai Peninsula Borough,Alaska,02,122,305
Kodiak Island Borough,Alaska,02,150,150
Matanuska-Susitna Borough,Alaska,02,170,859
Nome Census Area,Alaska,02,180,148
North Slope Borough,Alaska,02,185,47
Sitka City and Borough,Alaska,02,220,34
Southeast Fairbanks Census Area,Alaska,02,240,163
Valdez-Cordova Census Area,Alaska,02,261,52
Wade Hampton Census Area,Alaska,02,270,9
Northwest Arctic Borough,Alaska,02,188,26
Aleutians East Borough,Alaska,02,013,486
Aleutians West Census Area,Alaska,02,016,361
Dillingham Census Area,Alaska,02,070,16
Lake and Peninsula Borough,Alaska,02,164,7
Denali Borough,Alaska,02,068,18
Yukon-Koyukuk Census Area,Alaska,02,290,4
Hoonah-Angoon Census Area,Alaska,02,105,9
Skagway Municipality,Alaska,02,230,10
Yakutat City and Borough,Alaska,02,282,40
Ketchikan Gateway Borough,Alaska,02,130,61
Petersburg Borough,Alaska,02,195,74
Prince of Wales-Hyder Census Area,Alaska,02,198,7
Wrangell City and Borough,Alaska,02,275,21
Apache County,Arizona,04,001,288
Cochise County,Arizona,04,003,4923
Coconino County,Arizona,04,005,1631
Gila County,Arizona,04,007,226
Graham County,Arizona,04,009,813
Greenlee County,Arizona,04,011,55
Maricopa County,Arizona,04,013,185533
Mohave County,Arizona,04,015,1998
Navajo County,Arizona,04,017,966
Pima County,Arizona,04,019,34836
Pinal County,Arizona,04,021,15254
Santa Cruz County,Arizona,04,023,263
Yavapai County,Arizona,04,025,1135
La Paz County,Arizona,04,012,217
Yuma County,Arizona,04,027,3989
Arkansas County,Arkansas,05,001,4664
Ashley County,Arkansas,05,003,5658
Baxter County,Arkansas,05,005,114
Benton County,Arkansas,05,007,2469
Boone County,Arkansas,05,009,96
Bradley County,Arkansas,05,011,3302
Calhoun County,Arkansas,05,013,1291
Carroll County,Arkansas,05,015,94
Chicot County,Arkansas,05,017,6535
Clark County,Arkansas,05,019,5583
Clay County,Arkansas,05,021,54
Cleburne County,Arkansas,05,023,109
Cleveland County,Arkansas,05,025,1120
Columbia County,Arkansas,05,027,9074
Conway County,Arkansas,05,029,2508
Craighead County,Arkansas,05,031,12120
Crawford County,Arkansas,05,033,858
Crittenden County,Arkansas,05,035,25617
Cross County,Arkansas,05,037,4023
Dallas County,Arkansas,05,039,3559
Desha County,Arkansas,05,041,6240
Drew County,Arkansas,05,043,5163
Faulkner County,Arkansas,05,045,11363
Franklin County,Arkansas,05,047,180
Fulton County,Arkansas,05,049,38
Garland County,Arkansas,05,051,7983
Grant County,Arkansas,05,053,410
Greene County,Arkansas,05,055,273
Hempstead County,Arkansas,05,057,6815
