County,State,State_FIPS,County_FIPS,native_american_population
Autauga County,Alabama,01,001,230.0
Baldwin County,Alabama,01,003,1166.0
Barbour County,Alabama,01,005,52.0
Bibb County,Alabama,01,007,93.0
Blount County,Alabama,01,009,326.0
Bullock County,Alabama,01,011,124.0
Butler County,Alabama,01,013,13.0
Calhoun County,Alabama,01,015,223.0
Chambers County,Alabama,01,017,57.0
Cherokee County,Alabama,01,019,144.0
Chilton County,Alabama,01,021,158.0
Choctaw County,Alabama,01,023,2.0
Clarke County,Alabama,01,025,7.0
Clay County,Alabama,01,027,105.0
Cleburne County,Alabama,01,029,33.0
Coffee County,Alabama,01,031,475.0
Colbert County,Alabama,01,033,312.0
Conecuh County,Alabama,01,035,37.0
Coosa County,Alabama,01,037,7.0
Covington County,Alabama,01,039,171.0
Crenshaw County,Alabama,01,041,108.0
Cullman County,Alabama,01,043,331.0
Dale County,Alabama,01,045,258.0
Dallas County,Alabama,01,047,77.0
DeKalb County,Alabama,01,049,877.0
Elmore County,Alabama,01,051,222.0
Escambia County,Alabama,01,053,1207.0
Etowah County,Alabama,01,055,343.0
Fayette County,Alabama,01,057,0.0
Franklin County,Alabama,01,059,373.0
Geneva County,Alabama,01,061,87.0
Greene County,Alabama,01,063,7.0
Hale County,Alabama,01,065,43.0
Henry County,Alabama,01,067,0.0
Houston County,Alabama,01,069,383.0
Jackson County,Alabama,01,071,582.0
Jefferson County,Alabama,01,073,1515.0
Lamar County,Alabama,01,075,40.0
Lauderdale County,Alabama,01,077,405.0
Lawrence County,Alabama,01,079,1826.0
Lee County,Alabama,01,081,231.0
Limestone County,Alabama,01,083,470.0
Lowndes County,Alabama,01,085,0.0
Macon County,Alabama,01,087,62.0
Madison County,Alabama,01,089,2039.0
Marengo County,Alabama,01,091,24.0
Marion County,Alabama,01,093,65.0
Marshall County,Alabama,01,095,454.0
Mobile County,Alabama,01,097,2680.0
Monroe County,Alabama,01,099,284.0
Montgomery County,Alabama,01,101,495.0
Morgan County,Alabama,01,103,758.0
Perry County,Alabama,01,105,4.0
Pickens County,Alabama,01,107,0.0
Pike County,Alabama,01,109,265.0
Randolph County,Alabama,01,111,58.0
Russell County,Alabama,01,113,202.0
Saint Clair County,Alabama,01,115,371.0
Shelby County,Alabama,01,117,551.0
Sumter County,Alabama,01,119,52.0
Talladega County,Alabama,01,121,284.0
Tallapoosa County,Alabama,01,123,146.0
Tuscaloosa County,Alabama,01,125,333.0
Walker County,Alabama,01,127,42.0
Washington County,Alabama,01,129,1375.0
Wilcox County,Alabama,01,131,4.0
Winston County,Alabama,01,133,182.0
Anchorage Municipality,Alaska,02,020,19745.0
Bethel Census Area,Alaska,02,050,14415.0
Bristol Bay Borough,Alaska,02,060,284.0
Fairbanks North Star Borough,Alaska,02,090,6288.0
Haines Borough,Alaska,02,100,164.0
Juneau City and Borough,Alaska,02,110,4017.0
Kenai Peninsula Borough,Alaska,02,122,4355.0
Kodiak Island Borough,Alaska,02,150,1956.0
Matanuska-Susitna Borough,Alaska,02,170,5072.0
Nome Census Area,Alaska,02,180,6913.0
North Slope Borough,Alaska,02,185,4645.0
Sitka City and Borough,Alaska,02,220,1317.0
Southeast Fairbanks Census Area,Alaska,02,240,742.0
Valdez-Cordova Census Area,Alaska,02,261,1501.0
Wade Hampton Census Area,Alaska,02,270,
Northwest Arctic Borough,Alaska,02,188,6343.0
Aleutians East Borough,Alaska,02,013,979.0
Aleutians West Census Area,Alaska,02,016,738.0
Dillingham Census Area,Alaska,02,070,3619.0
Lake and Peninsula Borough,Alaska,02,164,1012.0
Denali Borough,Alaska,02,068,73.0
Yukon-Koyukuk Census Area,Alaska,02,290,3948.0
Hoonah-Angoon Census Area,Alaska,02,105,708.0
Skagway Municipality,Alaska,02,230,61.0
Yakutat City and Borough,Alaska,02,282,213.0
Ketchikan Gateway Borough,Alaska,02,130,1960.0
Petersburg Borough,Alaska,02,195,194.0
Prince of Wales-Hyder Census Area,Alaska,02,198,2672.0
Wrangell City and Borough,Alaska,02,275,414.0
Apache County,Arizona,04,001,52154.0
Cochise County,Arizona,04,003,1519.0
Coconino County,Arizona,04,005,36791.0
Gila County,Arizona,04,007,8029.0
Graham County,Arizona,04,009,5048.0
Greenlee County,Arizona,04,011,315.0
Maricopa County,Arizona,04,013,76621.0
Mohave County,Arizona,04,015,4169.0
Navajo County,Arizona,04,017,47216.0
Pima County,Arizona,04,019,32656.0
Pinal County,Arizona,04,021,20684.0
Santa Cruz County,Arizona,04,023,106.0
Yavapai County,Arizona,04,025,3995.0
La Paz County,Arizona,04,012,2805.0
Yuma County,Arizona,04,027,2613.0
Arkansas County,Arkansas,05,001,18.0
Ashley County,Arkansas,05,003,64.0
Baxter County,Arkansas,05,005,238.0
Benton County,Arkansas,05,007,3397.0
Boone County,Arkansas,05,009,272.0
Bradley County,Arkansas,05,011,84.0
Calhoun County,Arkansas,05,013,3.0
Carroll County,Arkansas,05,015,179.0
Chicot County,Arkansas,05,017,44.0
Clark County,Arkansas,05,019,39.0
Clay County,Arkansas,05,021,51.0
Cleburne County,Arkansas,05,023,136.0
Cleveland County,Arkansas,05,025,18.0
Columbia County,Arkansas,05,027,85.0
Conway County,Arkansas,05,029,153.0
Craighead County,Arkansas,05,031,773.0
Crawford County,Arkansas,05,033,1026.0
Crittenden County,Arkansas,05,035,94.0
Cross County,Arkansas,05,037,47.0
Dallas County,Arkansas,05,039,3.0
Desha County,Arkansas,05,041,0.0
Drew County,Arkansas,05,043,14.0
Faulkner County,Arkansas,05,045,454.0
Franklin County,Arkansas,05,047,367.0
Fulton County,Arkansas,05,049,51.0
Garland County,Arkansas,05,051,572.0
Grant County,Arkansas,05,053,61.0
Greene County,Arkansas,05,055,95.0
Hempstead County,Arkansas,05,057,37.0
Hot Spring County,Arkansas,05,059,189.0
Howard County,Arkansas,05,061,126.0
Independence County,Arkansas,05,063,164.0
Izard County,Arkansas,05,065,28.0
Jackson County,Arkansas,05,067,88.0
Jefferson County,Arkansas,05,069,82.0
Johnson County,Arkansas,05,071,132.0
Lafayette County,Arkansas,05,073,0.0
Lawrence County,Arkansas,05,075,48.0
Lee County,Arkansas,05,077,14.0
Lincoln County,Arkansas,05,079,46.0
Little River County,Arkansas,05,081,147.0
Logan County,Arkansas,05,083,203.0
Lonoke County,Arkansas,05,085,372.0
Madison County,Arkansas,05,087,75.0
Marion County,Arkansas,05,089,109.0
Miller County,Arkansas,05,091,211.0
Mississippi County,Arkansas,05,093,49.0
Monroe County,Arkansas,05,095,12.0
Montgomery County,Arkansas,05,097,119.0
Nevada County,Arkansas,05,099,29.0
Newton County,Arkansas,05,101,111.0
Ouachita County,Arkansas,05,103,52.0
Perry County,Arkansas,05,105,34.0
Phillips County,Arkansas,05,107,24.0
Pike County,Arkansas,05,109,17.0
Poinsett County,Arkansas,05,111,39.0
Polk County,Arkansas,05,113,219.0
Pope County,Arkansas,05,115,364.0
Prairie County,Arkansas,05,117,34.0
Pulaski County,Arkansas,05,119,1079.0
Randolph County,Arkansas,05,121,48.0
Saint Francis County,Arkansas,05,123,100.0
Saline County,Arkansas,05,125,364.0
Scott County,Arkansas,05,127,176.0
Searcy County,Arkansas,05,129,85.0
Sebastian County,Arkansas,05,131,1740.0
Sevier County,Arkansas,05,133,334.0
Sharp County,Arkansas,05,135,143.0
Stone County,Arkansas,05,137,26.0
Union County,Arkansas,05,139,231.0
Van Buren County,Arkansas,05,141,65.0
Washington County,Arkansas,05,143,2250.0
White County,Arkansas,05,145,124.0
Woodruff County,Arkansas,05,147,6.0
Yell County,Arkansas,05,149,126.0
Alameda County,California,06,001,9813.0
Alpine County,California,06,003,219.0
Amador County,California,06,005,829.0
Butte County,California,06,007,2553.0
Calaveras County,California,06,009,396.0
Colusa County,California,06,011,231.0
Contra Costa County,California,06,013,6059.0
Del Norte County,California,06,015,1484.0
El Dorado County,California,06,017,1565.0
Fresno County,California,06,019,9796.0
Glenn County,California,06,021,548.0
Humboldt County,California,06,023,6956.0
Imperial County,California,06,025,2284.0
Inyo County,California,06,027,1964.0
Kern County,California,06,029,10086.0
Kings County,California,06,031,1993.0
Lake County,California,06,033,2436.0
Lassen County,California,06,035,1025.0
Los Angeles County,California,06,037,59340.0
Madera County,California,06,039,2325.0
Marin County,California,06,041,795.0
Mariposa County,California,06,043,572.0
Mendocino County,California,06,045,4018.0
Merced County,California,06,047,1787.0
Modoc County,California,06,049,330.0
Mono County,California,06,051,254.0
Monterey County,California,06,053,3302.0
Napa County,California,06,055,987.0
Nevada County,California,06,057,1106.0
Orange County,California,06,059,12476.0
Placer County,California,06,061,1982.0
Plumas County,California,06,063,407.0
Riverside County,California,06,065,21535.0
Sacramento County,California,06,067,11633.0
San Benito County,California,06,069,430.0
San Bernardino County,California,06,071,17846.0
San Diego County,California,06,073,21237.0
San Francisco County,California,06,075,2854.0
San Joaquin County,California,06,077,4652.0
San Luis Obispo County,California,06,079,2005.0
