County,State,State_FIPS,County_FIPS,native_american_population
Autauga County,Alabama,01,001,169
Baldwin County,Alabama,01,003,1038
Barbour County,Alabama,01,005,25
Bibb County,Alabama,01,007,80
Blount County,Alabama,01,009,230
Bullock County,Alabama,01,011,24
Butler County,Alabama,01,013,36
Calhoun County,Alabama,01,015,318
Chambers County,Alabama,01,017,17
Cherokee County,Alabama,01,019,163
Chilton County,Alabama,01,021,160
Choctaw County,Alabama,01,023,0
Clarke County,Alabama,01,025,122
Clay County,Alabama,01,027,25
Cleburne County,Alabama,01,029,30
Coffee County,Alabama,01,031,440
Colbert County,Alabama,01,033,300
Conecuh County,Alabama,01,035,72
Coosa County,Alabama,01,037,7
Covington County,Alabama,01,039,203
Crenshaw County,Alabama,01,041,74
Cullman County,Alabama,01,043,333
Dale County,Alabama,01,045,159
Dallas County,Alabama,01,047,68
DeKalb County,Alabama,01,049,1019
Elmore County,Alabama,01,051,327
Escambia County,Alabama,01,053,1418
Etowah County,Alabama,01,055,354
Fayette County,Alabama,01,057,38
Franklin County,Alabama,01,059,157
Geneva County,Alabama,01,061,87
Greene County,Alabama,01,063,25
Hale County,Alabama,01,065,32
Henry County,Alabama,01,067,0
Houston County,Alabama,01,069,300
Jackson County,Alabama,01,071,1037
Jefferson County,Alabama,01,073,1238
Lamar County,Alabama,01,075,4
Lauderdale County,Alabama,01,077,430
Lawrence County,Alabama,01,079,1892
Lee County,Alabama,01,081,501
Limestone County,Alabama,01,083,431
Lowndes County,Alabama,01,085,23
Macon County,Alabama,01,087,42
Madison County,Alabama,01,089,2262
Marengo County,Alabama,01,091,13
Marion County,Alabama,01,093,48
Marshall County,Alabama,01,095,696
Mobile County,Alabama,01,097,3443
Monroe County,Alabama,01,099,288
Montgomery County,Alabama,01,101,891
Morgan County,Alabama,01,103,1185
Perry County,Alabama,01,105,0
Pickens County,Alabama,01,107,16
Pike County,Alabama,01,109,258
Randolph County,Alabama,01,111,96
Russell County,Alabama,01,113,40
Saint Clair County,Alabama,01,115,406
Shelby County,Alabama,01,117,639
Sumter County,Alabama,01,119,12
Talladega County,Alabama,01,121,252
Tallapoosa County,Alabama,01,123,52
Tuscaloosa County,Alabama,01,125,482
Walker County,Alabama,01,127,154
Washington County,Alabama,01,129,1364
Wilcox County,Alabama,01,131,0
Winston County,Alabama,01,133,121
Anchorage Municipality,Alaska,02,020,19326
Bethel Census Area,Alaska,02,050,14031
Bristol Bay Borough,Alaska,02,060,288
Fairbanks North Star Borough,Alaska,02,090,6458
Haines Borough,Alaska,02,100,183
Juneau City and Borough,Alaska,02,110,3560
Kenai Peninsula Borough,Alaska,02,122,4453
Kodiak Island Borough,Alaska,02,150,2123
Matanuska-Susitna Borough,Alaska,02,170,4273
Nome Census Area,Alaska,02,180,6884
North Slope Borough,Alaska,02,185,4929
Sitka City and Borough,Alaska,02,220,1544
Southeast Fairbanks Census Area,Alaska,02,240,735
Valdez-Cordova Census Area,Alaska,02,261,1454
Wade Hampton Census Area,Alaska,02,270,6843
Northwest Arctic Borough,Alaska,02,188,6146
Aleutians East Borough,Alaska,02,013,570
Aleutians West Census Area,Alaska,02,016,837
Dillingham Census Area,Alaska,02,070,3381
Lake and Peninsula Borough,Alaska,02,164,987
Denali Borough,Alaska,02,068,75
Yukon-Koyukuk Census Area,Alaska,02,290,3889
Hoonah-Angoon Census Area,Alaska,02,105,767
Skagway Municipality,Alaska,02,230,17
Yakutat City and Borough,Alaska,02,282,283
Ketchikan Gateway Borough,Alaska,02,130,1824
Petersburg Borough,Alaska,02,195,470
Prince of Wales-Hyder Census Area,Alaska,02,198,2311
Wrangell City and Borough,Alaska,02,275,335
Apache County,Arizona,04,001,52153
Cochise County,Arizona,04,003,1454
Coconino County,Arizona,04,005,36501
Gila County,Arizona,04,007,7831
Graham County,Arizona,04,009,5044
Greenlee County,Arizona,04,011,177
Maricopa County,Arizona,04,013,71329
Mohave County,Arizona,04,015,3062
Navajo County,Arizona,04,017,45544
Pima County,Arizona,04,019,31265
Pinal County,Arizona,04,021,19809
Santa Cruz County,Arizona,04,023,134
Yavapai County,Arizona,04,025,4176
La Paz County,Arizona,04,012,2621
Yuma County,Arizona,04,027,2705
Arkansas County,Arkansas,05,001,27
Ashley County,Arkansas,05,003,49
Baxter County,Arkansas,05,005,231
Benton County,Arkansas,05,007,3325
Boone County,Arkansas,05,009,240
Bradley County,Arkansas,05,011,118
Calhoun County,Arkansas,05,013,0
Carroll County,Arkansas,05,015,227
Chicot County,Arkansas,05,017,6
Clark County,Arkansas,05,019,85
Clay County,Arkansas,05,021,52
Cleburne County,Arkansas,05,023,82
Cleveland County,Arkansas,05,025,0
Columbia County,Arkansas,05,027,48
Conway County,Arkansas,05,029,153
Craighead County,Arkansas,05,031,318
Crawford County,Arkansas,05,033,811
Crittenden County,Arkansas,05,035,35
Cross County,Arkansas,05,037,47
Dallas County,Arkansas,05,039,6
Desha County,Arkansas,05,041,37
Drew County,Arkansas,05,043,12
Faulkner County,Arkansas,05,045,499
Franklin County,Arkansas,05,047,126
Fulton County,Arkansas,05,049,41
Garland County,Arkansas,05,051,599
Grant County,Arkansas,05,053,43
Greene County,Arkansas,05,055,170
