County,State,State_FIPS,County_FIPS,black_population
Autauga County,Alabama,01,001,9880
Baldwin County,Alabama,01,003,17016
Barbour County,Alabama,01,005,12645
Bibb County,Alabama,01,007,4953
Blount County,Alabama,01,009,754
Bullock County,Alabama,01,011,7609
Butler County,Alabama,01,013,8961
Calhoun County,Alabama,01,015,24421
Chambers County,Alabama,01,017,13409
Cherokee County,Alabama,01,019,1253
Chilton County,Alabama,01,021,4314
Choctaw County,Alabama,01,023,5935
Clarke County,Alabama,01,025,11310
Clay County,Alabama,01,027,2157
Cleburne County,Alabama,01,029,573
Coffee County,Alabama,01,031,8663
Colbert County,Alabama,01,033,8730
Conecuh County,Alabama,01,035,6130
Coosa County,Alabama,01,037,3558
Covington County,Alabama,01,039,4754
Crenshaw County,Alabama,01,041,3099
Cullman County,Alabama,01,043,869
Dale County,Alabama,01,045,9834
Dallas County,Alabama,01,047,30057
DeKalb County,Alabama,01,049,1236
Elmore County,Alabama,01,051,16036
Escambia County,Alabama,01,053,12280
Etowah County,Alabama,01,055,15745
Fayette County,Alabama,01,057,1942
Franklin County,Alabama,01,059,1469
Geneva County,Alabama,01,061,2632
Greene County,Alabama,01,063,7421
Hale County,Alabama,01,065,9327
Henry County,Alabama,01,067,4812
Houston County,Alabama,01,069,26052
Jackson County,Alabama,01,071,1770
Jefferson County,Alabama,01,073,277856
Lamar County,Alabama,01,075,1728
Lauderdale County,Alabama,01,077,9372
Lawrence County,Alabama,01,079,3803
Lee County,Alabama,01,081,32324
Limestone County,Alabama,01,083,10670
Lowndes County,Alabama,01,085,8365
Macon County,Alabama,01,087,17635
Madison County,Alabama,01,089,80303
Marengo County,Alabama,01,091,10926
Marion County,Alabama,01,093,1189
Marshall County,Alabama,01,095,1498
Mobile County,Alabama,01,097,143332
Monroe County,Alabama,01,099,9534
Montgomery County,Alabama,01,101,125397
Morgan County,Alabama,01,103,14197
Perry County,Alabama,01,105,7223
Pickens County,Alabama,01,107,8168
Pike County,Alabama,01,109,11915
Randolph County,Alabama,01,111,4758
Russell County,Alabama,01,113,22756
Saint Clair County,Alabama,01,115,7415
Shelby County,Alabama,01,117,21002
Sumter County,Alabama,01,119,10132
Talladega County,Alabama,01,121,26762
Tallapoosa County,Alabama,01,123,11347
Tuscaloosa County,Alabama,01,125,58198
Walker County,Alabama,01,127,3672
Washington County,Alabama,01,129,4263
Wilcox County,Alabama,01,131,8555
Winston County,Alabama,01,133,196
Anchorage Municipality,Alaska,02,020,16770
Bethel Census Area,Alaska,02,050,49
Bristol Bay Borough,Alaska,02,060,2
Fairbanks North Star Borough,Alaska,02,090,4482
Haines Borough,Alaska,02,100,8
Juneau City and Borough,Alaska,02,110,215
Kenai Peninsula Borough,Alaska,02,122,322
Kodiak Island Borough,Alaska,02,150,105
Matanuska-Susitna Borough,Alaska,02,170,907
Nome Census Area,Alaska,02,180,126
North Slope Borough,Alaska,02,185,46
Sitka City and Borough,Alaska,02,220,70
Southeast Fairbanks Census Area,Alaska,02,240,107
Valdez-Cordova Census Area,Alaska,02,261,28
Wade Hampton Census Area,Alaska,02,270,8
Northwest Arctic Borough,Alaska,02,188,30
Aleutians East Borough,Alaska,02,013,417
Aleutians West Census Area,Alaska,02,016,326
Dillingham Census Area,Alaska,02,070,19
Lake and Peninsula Borough,Alaska,02,164,7
Denali Borough,Alaska,02,068,20
Yukon-Koyukuk Census Area,Alaska,02,290,6
Hoonah-Angoon Census Area,Alaska,02,105,5
Skagway Municipality,Alaska,02,230,3
Yakutat City and Borough,Alaska,02,282,8
Ketchikan Gateway Borough,Alaska,02,130,58
Petersburg Borough,Alaska,02,195,50
Prince of Wales-Hyder Census Area,Alaska,02,198,12
Wrangell City and Borough,Alaska,02,275,13
Apache County,Arizona,04,001,207
Cochise County,Arizona,04,003,5164
Coconino County,Arizona,04,005,1774
Gila County,Arizona,04,007,238
Graham County,Arizona,04,009,776
Greenlee County,Arizona,04,011,84
Maricopa County,Arizona,04,013,192883
Mohave County,Arizona,04,015,2019
Navajo County,Arizona,04,017,916
Pima County,Arizona,04,019,35850
Pinal County,Arizona,04,021,16664
Santa Cruz County,Arizona,04,023,262
Yavapai County,Arizona,04,025,1182
La Paz County,Arizona,04,012,181
