County,State,State_FIPS,County_FIPS,native_american_population
Autauga County,Alabama,01,001,138
Baldwin County,Alabama,01,003,1157
Barbour County,Alabama,01,005,55
Bibb County,Alabama,01,007,105
Blount County,Alabama,01,009,197
Bullock County,Alabama,01,011,4
Butler County,Alabama,01,013,24
Calhoun County,Alabama,01,015,314
Chambers County,Alabama,01,017,30
Cherokee County,Alabama,01,019,126
Chilton County,Alabama,01,021,152
Choctaw County,Alabama,01,023,0
Clarke County,Alabama,01,025,137
Clay County,Alabama,01,027,12
Cleburne County,Alabama,01,029,34
Coffee County,Alabama,01,031,419
Colbert County,Alabama,01,033,323
Conecuh County,Alabama,01,035,68
Coosa County,Alabama,01,037,8
Covington County,Alabama,01,039,201
Crenshaw County,Alabama,01,041,62
Cullman County,Alabama,01,043,304
Dale County,Alabama,01,045,194
Dallas County,Alabama,01,047,42
DeKalb County,Alabama,01,049,944
Elmore County,Alabama,01,051,296
Escambia County,Alabama,01,053,1337
Etowah County,Alabama,01,055,430
Fayette County,Alabama,01,057,36
Franklin County,Alabama,01,059,194
Geneva County,Alabama,01,061,32
Greene County,Alabama,01,063,39
Hale County,Alabama,01,065,42
Henry County,Alabama,01,067,0
Houston County,Alabama,01,069,327
Jackson County,Alabama,01,071,993
Jefferson County,Alabama,01,073,1276
Lamar County,Alabama,01,075,33
Lauderdale County,Alabama,01,077,420
Lawrence County,Alabama,01,079,1895
Lee County,Alabama,01,081,378
Limestone County,Alabama,01,083,440
Lowndes County,Alabama,01,085,0
Macon County,Alabama,01,087,187
Madison County,Alabama,01,089,2204
Marengo County,Alabama,01,091,13
Marion County,Alabama,01,093,25
Marshall County,Alabama,01,095,780
Mobile County,Alabama,01,097,3187
Monroe County,Alabama,01,099,211
Montgomery County,Alabama,01,101,637
Morgan County,Alabama,01,103,989
Perry County,Alabama,01,105,0
Pickens County,Alabama,01,107,7
Pike County,Alabama,01,109,256
Randolph County,Alabama,01,111,80
Russell County,Alabama,01,113,97
Saint Clair County,Alabama,01,115,347
Shelby County,Alabama,01,117,572
Sumter County,Alabama,01,119,51
Talladega County,Alabama,01,121,294
Tallapoosa County,Alabama,01,123,113
Tuscaloosa County,Alabama,01,125,324
Walker County,Alabama,01,127,183
Washington County,Alabama,01,129,1354
Wilcox County,Alabama,01,131,0
Winston County,Alabama,01,133,149
Anchorage Municipality,Alaska,02,020,20361
Bethel Census Area,Alaska,02,050,14176
Bristol Bay Borough,Alaska,02,060,287
Fairbanks North Star Borough,Alaska,02,090,6524
Haines Borough,Alaska,02,100,209
Juneau City and Borough,Alaska,02,110,3688
Kenai Peninsula Borough,Alaska,02,122,4370
Kodiak Island Borough,Alaska,02,150,2085
Matanuska-Susitna Borough,Alaska,02,170,4446
Nome Census Area,Alaska,02,180,6868
North Slope Borough,Alaska,02,185,4929
Sitka City and Borough,Alaska,02,220,1605
Southeast Fairbanks Census Area,Alaska,02,240,668
Valdez-Cordova Census Area,Alaska,02,261,1569
Wade Hampton Census Area,Alaska,02,270,6946
Northwest Arctic Borough,Alaska,02,188,6208
Aleutians East Borough,Alaska,02,013,671
Aleutians West Census Area,Alaska,02,016,781
Dillingham Census Area,Alaska,02,070,3420
Lake and Peninsula Borough,Alaska,02,164,1018
Denali Borough,Alaska,02,068,84
Yukon-Koyukuk Census Area,Alaska,02,290,3971
Hoonah-Angoon Census Area,Alaska,02,105,785
Skagway Municipality,Alaska,02,230,39
Yakutat City and Borough,Alaska,02,282,251
Ketchikan Gateway Borough,Alaska,02,130,2001
Petersburg Borough,Alaska,02,195,507
Prince of Wales-Hyder Census Area,Alaska,02,198,2271
Wrangell City and Borough,Alaska,02,275,535
Apache County,Arizona,04,001,51994
Cochise County,Arizona,04,003,1577
Coconino County,Arizona,04,005,36510
Gila County,Arizona,04,007,7910
Graham County,Arizona,04,009,5216
Greenlee County,Arizona,04,011,199
Maricopa County,Arizona,04,013,72913
Mohave County,Arizona,04,015,3403
Navajo County,Arizona,04,017,45995
Pima County,Arizona,04,019,31521
Pinal County,Arizona,04,021,19784
Santa Cruz County,Arizona,04,023,97
Yavapai County,Arizona,04,025,4475
La Paz County,Arizona,04,012,2637
Yuma County,Arizona,04,027,2722
Arkansas County,Arkansas,05,001,24
Ashley County,Arkansas,05,003,52
Baxter County,Arkansas,05,005,225
Benton County,Arkansas,05,007,3281
Boone County,Arkansas,05,009,315
Bradley County,Arkansas,05,011,124
Calhoun County,Arkansas,05,013,0
Carroll County,Arkansas,05,015,237
Chicot County,Arkansas,05,017,71
Clark County,Arkansas,05,019,26
Clay County,Arkansas,05,021,31
Cleburne County,Arkansas,05,023,81
Cleveland County,Arkansas,05,025,20
Columbia County,Arkansas,05,027,61
Conway County,Arkansas,05,029,179
Craighead County,Arkansas,05,031,374
Crawford County,Arkansas,05,033,1024
Crittenden County,Arkansas,05,035,47
Cross County,Arkansas,05,037,58
Dallas County,Arkansas,05,039,9
Desha County,Arkansas,05,041,41
Drew County,Arkansas,05,043,12
Faulkner County,Arkansas,05,045,393
Franklin County,Arkansas,05,047,255
Fulton County,Arkansas,05,049,51
Garland County,Arkansas,05,051,579
Grant County,Arkansas,05,053,68
Greene County,Arkansas,05,055,165
Hempstead County,Arkansas,05,057,49
Hot Spring County,Arkansas,05,059,131
Howard County,Arkansas,05,061,113
Independence County,Arkansas,05,063,226
Izard County,Arkansas,05,065,77
Jackson County,Arkansas,05,067,120
Jefferson County,Arkansas,05,069,168
Johnson County,Arkansas,05,071,170
Lafayette County,Arkansas,05,073,2
Lawrence County,Arkansas,05,075,51
Lee County,Arkansas,05,077,22
Lincoln County,Arkansas,05,079,67
Little River County,Arkansas,05,081,139
Logan County,Arkansas,05,083,234
Lonoke County,Arkansas,05,085,381
Madison County,Arkansas,05,087,86
Marion County,Arkansas,05,089,86
Miller County,Arkansas,05,091,191
Mississippi County,Arkansas,05,093,91
Monroe County,Arkansas,05,095,17
Montgomery County,Arkansas,05,097,104
Nevada County,Arkansas,05,099,26
Newton County,Arkansas,05,101,53
Ouachita County,Arkansas,05,103,71
Perry County,Arkansas,05,105,11
Phillips County,Arkansas,05,107,15
Pike County,Arkansas,05,109,70
Poinsett County,Arkansas,05,111,43
Polk County,Arkansas,05,113,391
Pope County,Arkansas,05,115,429
Prairie County,Arkansas,05,117,0
Pulaski County,Arkansas,05,119,1266
Randolph County,Arkansas,05,121,47
Saint Francis County,Arkansas,05,123,62
Saline County,Arkansas,05,125,436
Scott County,Arkansas,05,127,165
Searcy County,Arkansas,05,129,51
Sebastian County,Arkansas,05,131,1313
Sevier County,Arkansas,05,133,236
Sharp County,Arkansas,05,135,35
Stone County,Arkansas,05,137,19
Union County,Arkansas,05,139,229
Van Buren County,Arkansas,05,141,85
Washington County,Arkansas,05,143,2262
White County,Arkansas,05,145,189
Woodruff County,Arkansas,05,147,12
Yell County,Arkansas,05,149,101
Alameda County,California,06,001,8919
Alpine County,California,06,003,204
Amador County,California,06,005,700
Butte County,California,06,007,2353
Calaveras County,California,06,009,430
Colusa County,California,06,011,200
Contra Costa County,California,06,013,5420
Del Norte County,California,06,015,1316
El Dorado County,California,06,017,1846
Fresno County,California,06,019,9678
Glenn County,California,06,021,626
Humboldt County,California,06,023,7625
Imperial County,California,06,025,2602
Inyo County,California,06,027,1982
Kern County,California,06,029,9880
Kings County,California,06,031,1872
Lake County,California,06,033,2241
Lassen County,California,06,035,1159
Los Angeles County,California,06,037,51849
Madera County,California,06,039,2635
Marin County,California,06,041,728
Mariposa County,California,06,043,619
Mendocino County,California,06,045,3906
Merced County,California,06,047,2372
Modoc County,California,06,049,271
Mono County,California,06,051,224
Monterey County,California,06,053,4069
Napa County,California,06,055,1000
