County,State,State_FIPS,County_FIPS,total_population_race
Autauga County,Alabama,01,001,53944
Baldwin County,Alabama,01,003,179523
Barbour County,Alabama,01,005,27546
Bibb County,Alabama,01,007,22746
Blount County,Alabama,01,009,57140
Bullock County,Alabama,01,011,10877
Butler County,Alabama,01,013,20860
Calhoun County,Alabama,01,015,117614
Chambers County,Alabama,01,017,34375
Cherokee County,Alabama,01,019,25819
Chilton County,Alabama,01,021,43444
Choctaw County,Alabama,01,023,13953
Clarke County,Alabama,01,025,26046
Clay County,Alabama,01,027,14010
Cleburne County,Alabama,01,029,14881
Coffee County,Alabama,01,031,49221
Colbert County,Alabama,01,033,54478
Conecuh County,Alabama,01,035,13286
Coosa County,Alabama,01,037,11303
Covington County,Alabama,01,039,37736
Crenshaw County,Alabama,01,041,13938
Cullman County,Alabama,01,043,80246
Dale County,Alabama,01,045,49920
Dallas County,Alabama,01,047,43868
DeKalb County,Alabama,01,049,70608
Elmore County,Alabama,01,051,78641
Escambia County,Alabama,01,053,38081
Etowah County,Alabama,01,055,104216
Fayette County,Alabama,01,057,17361
Franklin County,Alabama,01,059,31532
Geneva County,Alabama,01,061,26646
Greene County,Alabama,01,063,9170
Hale County,Alabama,01,065,15972
Henry County,Alabama,01,067,17240
Houston County,Alabama,01,069,100310
Jackson County,Alabama,01,071,53357
Jefferson County,Alabama,01,073,657486
Lamar County,Alabama,01,075,14644
Lauderdale County,Alabama,01,077,92269
Lawrence County,Alabama,01,079,34250
Lee County,Alabama,01,081,137855
Limestone County,Alabama,01,083,80966
Lowndes County,Alabama,01,085,11538
Macon County,Alabama,01,087,21489
Madison County,Alabama,01,089,329299
Marengo County,Alabama,01,091,21130
Marion County,Alabama,01,093,30771
Marshall County,Alabama,01,095,92052
Mobile County,Alabama,01,097,410520
Monroe County,Alabama,01,099,23159
Montgomery County,Alabama,01,101,228939
Morgan County,Alabama,01,103,118521
Perry County,Alabama,01,105,10620
Pickens County,Alabama,01,107,19765
Pike County,Alabama,01,109,32471
Randolph County,Alabama,01,111,22838
Russell County,Alabama,01,113,52490
Saint Clair County,Alabama,01,115,82363
Shelby County,Alabama,01,117,191705
Sumter County,Alabama,01,119,13758
Talladega County,Alabama,01,121,82265
Tallapoosa County,Alabama,01,123,41614
Tuscaloosa County,Alabama,01,125,191489
Walker County,Alabama,01,127,67308
Washington County,Alabama,01,129,17487
Wilcox County,Alabama,01,131,11862
Winston County,Alabama,01,133,24593
Anchorage Municipality,Alaska,02,020,287390
Bethel Census Area,Alaska,02,050,16973
Bristol Bay Borough,Alaska,02,060,1035
Fairbanks North Star Borough,Alaska,02,090,96161
Haines Borough,Alaska,02,100,2519
Juneau City and Borough,Alaska,02,110,31244
Kenai Peninsula Borough,Alaska,02,122,54718
Kodiak Island Borough,Alaska,02,150,13488
Matanuska-Susitna Borough,Alaska,02,170,86817
Nome Census Area,Alaska,02,180,9443
North Slope Borough,Alaska,02,185,9088
Sitka City and Borough,Alaska,02,220,8879
Southeast Fairbanks Census Area,Alaska,02,240,7000
Valdez-Cordova Census Area,Alaska,02,261,9596
Wade Hampton Census Area,Alaska,02,270,7473
Northwest Arctic Borough,Alaska,02,188,7532
Aleutians East Borough,Alaska,02,013,3084
Aleutians West Census Area,Alaska,02,016,5488
Dillingham Census Area,Alaska,02,070,4845
Lake and Peninsula Borough,Alaska,02,164,1540
Denali Borough,Alaska,02,068,1770
Yukon-Koyukuk Census Area,Alaska,02,290,5613
Hoonah-Angoon Census Area,Alaska,02,105,2029
Skagway Municipality,Alaska,02,230,1105
Yakutat City and Borough,Alaska,02,282,731
Ketchikan Gateway Borough,Alaska,02,130,13417
Petersburg Borough,Alaska,02,195,3831
Prince of Wales-Hyder Census Area,Alaska,02,198,5541
Wrangell City and Borough,Alaska,02,275,2353
Apache County,Arizona,04,001,70906
Cochise County,Arizona,04,003,130464
Coconino County,Arizona,04,005,132978
Gila County,Arizona,04,007,53380
Graham County,Arizona,04,009,36720
Greenlee County,Arizona,04,011,8472
Maricopa County,Arizona,04,013,3798374
Mohave County,Arizona,04,015,200690
Navajo County,Arizona,04,017,107418
Pima County,Arizona,04,019,974181
Pinal County,Arizona,04,021,351709
Santa Cruz County,Arizona,04,023,46727
Yavapai County,Arizona,04,025,210838
La Paz County,Arizona,04,012,20521
Yuma County,Arizona,04,027,193995
Arkansas County,Arkansas,05,001,19146
Ashley County,Arkansas,05,003,21966
Baxter County,Arkansas,05,005,41527
Benton County,Arkansas,05,007,216314
Boone County,Arkansas,05,009,36908
Bradley County,Arkansas,05,011,11580
Calhoun County,Arkansas,05,013,5417
Carroll County,Arkansas,05,015,27145
Chicot County,Arkansas,05,017,11947
Clark County,Arkansas,05,019,23066
Clay County,Arkansas,05,021,16136
Cleburne County,Arkansas,05,023,25788
Cleveland County,Arkansas,05,025,8738
Columbia County,Arkansas,05,027,24607
Conway County,Arkansas,05,029,21164
Craighead County,Arkansas,05,031,95034
Crawford County,Arkansas,05,033,61336
Crittenden County,Arkansas,05,035,50701
Cross County,Arkansas,05,037,17992
Dallas County,Arkansas,05,039,8200
Desha County,Arkansas,05,041,13131
Drew County,Arkansas,05,043,18499
Faulkner County,Arkansas,05,045,111058
Franklin County,Arkansas,05,047,18157
Fulton County,Arkansas,05,049,12301
Garland County,Arkansas,05,051,95914
Grant County,Arkansas,05,053,17767
Greene County,Arkansas,05,055,41764
Hempstead County,Arkansas,05,057,22658
Hot Spring County,Arkansas,05,059,32797
Howard County,Arkansas,05,061,13786
Independence County,Arkansas,05,063,36279
Izard County,Arkansas,05,065,13600
Jackson County,Arkansas,05,067,17969
Jefferson County,Arkansas,05,069,77693
Johnson County,Arkansas,05,071,25408
Lafayette County,Arkansas,05,073,7691
Lawrence County,Arkansas,05,075,17336
Lee County,Arkansas,05,077,10563
Lincoln County,Arkansas,05,079,14141
Little River County,Arkansas,05,081,13113
Logan County,Arkansas,05,083,22502
Lonoke County,Arkansas,05,085,67189
Madison County,Arkansas,05,087,15626
Marion County,Arkansas,05,089,16744
Miller County,Arkansas,05,091,43266
Mississippi County,Arkansas,05,093,46608
Monroe County,Arkansas,05,095,8322
Montgomery County,Arkansas,05,097,9492
Nevada County,Arkansas,05,099,9078
Newton County,Arkansas,05,101,8353
Ouachita County,Arkansas,05,103,26137
Perry County,Arkansas,05,105,10450
Phillips County,Arkansas,05,107,22055
Pike County,Arkansas,05,109,11288
Poinsett County,Arkansas,05,111,24622
Polk County,Arkansas,05,113,20524
Pope County,Arkansas,05,115,61166
Prairie County,Arkansas,05,117,8768
Pulaski County,Arkansas,05,119,379981
Randolph County,Arkansas,05,121,18015
Saint Francis County,Arkansas,05,123,28195
Saline County,Arkansas,05,125,105033
Scott County,Arkansas,05,127,11232
Searcy County,Arkansas,05,129,8192
Sebastian County,Arkansas,05,131,124961
Sevier County,Arkansas,05,133,16841
Sharp County,Arkansas,05,135,17386
Stone County,Arkansas,05,137,12395
Union County,Arkansas,05,139,41879
Van Buren County,Arkansas,05,141,17255
Washington County,Arkansas,05,143,200621
White County,Arkansas,05,145,76041
Woodruff County,Arkansas,05,147,7379
Yell County,Arkansas,05,149,21995
Alameda County,California,06,001,1494876
Alpine County,California,06,003,1167
Amador County,California,06,005,38244
Butte County,California,06,007,219309
Calaveras County,California,06,009,45794
Colusa County,California,06,011,21297
Contra Costa County,California,06,013,1037817
Del Norte County,California,06,015,28561
El Dorado County,California,06,017,179878
Fresno County,California,06,019,920623
Glenn County,California,06,021,28027
Humboldt County,California,06,023,133585
Imperial County,California,06,025,171343
Inyo County,California,06,027,18457
Kern County,California,06,029,829254
Kings County,California,06,031,152335
Lake County,California,06,033,64392
Lassen County,California,06,035,35001
Los Angeles County,California,06,037,9787747
Madera County,California,06,039,149611
Marin County,California,06,041,250666
Mariposa County,California,06,043,18290
Mendocino County,California,06,045,87525
Merced County,California,06,047,253606
Modoc County,California,06,049,9587
Mono County,California,06,051,14016
Monterey County,California,06,053,411385
Napa County,California,06,055,135377
Nevada County,California,06,057,98392
Orange County,California,06,059,2989948
Placer County,California,06,061,343554
Plumas County,California,06,063,20192
Riverside County,California,06,065,2154844
Sacramento County,California,06,067,1408480
San Benito County,California,06,069,54873
San Bernardino County,California,06,071,2023452
San Diego County,California,06,073,3060849
San Francisco County,California,06,075,797983
San Joaquin County,California,06,077,680277
San Luis Obispo County,California,06,079,267871
San Mateo County,California,06,081,711622
Santa Barbara County,California,06,083,419793
Santa Clara County,California,06,085,1762754
Santa Cruz County,California,06,087,259402
Shasta County,California,06,089,177231
Sierra County,California,06,091,3277
Siskiyou County,California,06,093,44687
Solano County,California,06,095,411620
Sonoma County,California,06,097,478551
Stanislaus County,California,06,099,512469
Sutter County,California,06,101,94192
Tehama County,California,06,103,62985
Trinity County,California,06,105,13711
Tulare County,California,06,107,436234
Tuolumne County,California,06,109,55736
Ventura County,California,06,111,815745
Yolo County,California,06,113,198889
Yuba County,California,06,115,71817
Alamosa County,Colorado,08,003,15395
Archuleta County,Colorado,08,007,12152
Baca County,Colorado,08,009,3807
Bent County,Colorado,08,011,6164
Chaffee County,Colorado,08,015,17707
Cheyenne County,Colorado,08,017,2247
Clear Creek County,Colorado,08,019,9083
Conejos County,Colorado,08,021,8228
Costilla County,Colorado,08,023,3556
Crowley County,Colorado,08,025,5866
Custer County,Colorado,08,027,3853
Delta County,Colorado,08,029,30666
Dolores County,Colorado,08,033,2043
Douglas County,Colorado,08,035,280643
Eagle County,Colorado,08,037,51457
Elbert County,Colorado,08,039,22859
El Paso County,Colorado,08,041,611377
Fremont County,Colorado,08,043,47040
Garfield County,Colorado,08,045,55696
Gilpin County,Colorado,08,047,5241
Grand County,Colorado,08,049,14634
Gunnison County,Colorado,08,051,15274
Huerfano County,Colorado,08,055,6829
Jackson County,Colorado,08,057,1494
Kiowa County,Colorado,08,061,1728
Kit Carson County,Colorado,08,063,8178
Lake County,Colorado,08,065,7010
La Plata County,Colorado,08,067,50820
Larimer County,Colorado,08,069,296107
Las Animas County,Colorado,08,071,15549
Lincoln County,Colorado,08,073,5462
Logan County,Colorado,08,075,22417
Mesa County,Colorado,08,077,144766
Moffat County,Colorado,08,081,13586
Montezuma County,Colorado,08,083,25372
Montrose County,Colorado,08,085,40812
Morgan County,Colorado,08,087,27943
Otero County,Colorado,08,089,18795
Ouray County,Colorado,08,091,4371
Park County,Colorado,08,093,16259
Phillips County,Colorado,08,095,4391
Pitkin County,Colorado,08,097,16709
Prowers County,Colorado,08,099,12615
Pueblo County,Colorado,08,101,157946
Rio Blanco County,Colorado,08,103,6616
Rio Grande County,Colorado,08,105,11913
Routt County,Colorado,08,107,23201
Saguache County,Colorado,08,109,6165
San Miguel County,Colorado,08,113,7383
Sedgwick County,Colorado,08,115,2390
Summit County,Colorado,08,117,27496
Teller County,Colorado,08,119,23035
Washington County,Colorado,08,121,4709
Yuma County,Colorado,08,125,9960
Adams County,Colorado,08,001,434295
Arapahoe County,Colorado,08,005,563508
Boulder County,Colorado,08,013,293205
Broomfield County,Colorado,08,014,54592
Denver County,Colorado,08,031,590507
Jefferson County,Colorado,08,059,532243
Weld County,Colorado,08,123,248441
Fairfield County,Connecticut,09,001,911196
Hartford County,Connecticut,09,003,890588
Litchfield County,Connecticut,09,005,189719
Middlesex County,Connecticut,09,007,165274
New Haven County,Connecticut,09,009,858759
New London County,Connecticut,09,011,272891
Tolland County,Connecticut,09,013,151774
Windham County,Connecticut,09,015,117971
Kent County,Delaware,10,001,159936
New Castle County,Delaware,10,003,536478
Sussex County,Delaware,10,005,194442
Alachua County,Florida,12,001,246203
Baker County,Florida,12,003,26863
Bay County,Florida,12,005,167645
Bradford County,Florida,12,007,28701
Brevard County,Florida,12,009,542320
Broward County,Florida,12,011,1742012
Calhoun County,Florida,12,013,14530
Charlotte County,Florida,12,015,160095
Citrus County,Florida,12,017,141157
Clay County,Florida,12,019,188890
Collier County,Florida,12,021,320087
Columbia County,Florida,12,023,67287
Miami-Dade County,Florida,12,086,2474676
DeSoto County,Florida,12,027,34669
Dixie County,Florida,12,029,16317
Duval County,Florida,12,031,860479
Escambia County,Florida,12,033,297668
Flagler County,Florida,12,035,94431
Franklin County,Florida,12,037,11531
Gadsden County,Florida,12,039,46205
Gilchrist County,Florida,12,041,16843
Glades County,Florida,12,043,12684
Gulf County,Florida,12,045,15878
Hamilton County,Florida,12,047,14742
Hardee County,Florida,12,049,27690
Hendry County,Florida,12,051,39084
Hernando County,Florida,12,053,172079
Highlands County,Florida,12,055,98985
Hillsborough County,Florida,12,057,1219331
Holmes County,Florida,12,059,20003
Indian River County,Florida,12,061,137004
Jackson County,Florida,12,063,49537
Jefferson County,Florida,12,065,14622
Lafayette County,Florida,12,067,8627
Lake County,Florida,12,069,295594
Lee County,Florida,12,071,615955
Leon County,Florida,12,073,273352
Levy County,Florida,12,075,40556
Liberty County,Florida,12,077,8291
Madison County,Florida,12,079,19269
Manatee County,Florida,12,081,321296
Marion County,Florida,12,083,330100
Martin County,Florida,12,085,145480
Monroe County,Florida,12,087,73068
Nassau County,Florida,12,089,72379
Okaloosa County,Florida,12,091,181973
Okeechobee County,Florida,12,093,39978
Orange County,Florida,12,095,1133087
Osceola County,Florida,12,097,265328
Palm Beach County,Florida,12,099,1309401
Pasco County,Florida,12,101,461898
Pinellas County,Florida,12,103,916806
Polk County,Florida,12,105,598376
Putnam County,Florida,12,107,74595
Saint Johns County,Florida,12,109,186077
Saint Lucie County,Florida,12,111,274693
Santa Rosa County,Florida,12,113,150073
Sarasota County,Florida,12,115,378404
Seminole County,Florida,12,117,419641
Sumter County,Florida,12,119,90251
Suwannee County,Florida,12,121,41171
Taylor County,Florida,12,123,22382
Union County,Florida,12,125,15484
Volusia County,Florida,12,127,496089
Wakulla County,Florida,12,129,30013
Walton County,Florida,12,131,54309
Washington County,Florida,12,133,24543
Appling County,Georgia,13,001,18202
Atkinson County,Georgia,13,003,8375
Bacon County,Georgia,13,005,11075
Baker County,Georgia,13,007,3494
Baldwin County,Georgia,13,009,46345
Banks County,Georgia,13,011,18074
Barrow County,Georgia,13,013,68061
Bartow County,Georgia,13,015,98905
Ben Hill County,Georgia,13,017,17658
Berrien County,Georgia,13,019,18977
Bibb County,Georgia,13,021,155186
Bleckley County,Georgia,13,023,13095
Brantley County,Georgia,13,025,17937
Brooks County,Georgia,13,027,16256
Bryan County,Georgia,13,029,29847
Bulloch County,Georgia,13,031,69008
Burke County,Georgia,13,033,23211
Butts County,Georgia,13,035,23568
Calhoun County,Georgia,13,037,6568
Camden County,Georgia,13,039,49957
Candler County,Georgia,13,043,10891
Carroll County,Georgia,13,045,110292
