County,State,mean_life_expectancy,State_FIPS,County_FIPS,native_american_population
Autauga County,Alabama,76.0923839492951,01,001,230.0
Baldwin County,Alabama,77.9590260303945,01,003,999.0
Barbour County,Alabama,75.723760010315,01,005,48.0
Bibb County,Alabama,74.0704786684836,01,007,160.0
Blount County,Alabama,75.57623817677,01,009,287.0
Bullock County,Alabama,73.9667452558383,01,011,70.0
Butler County,Alabama,74.1879513563979,01,013,25.0
Calhoun County,Alabama,73.7500629106712,01,015,272.0
Chambers County,Alabama,74.4744393001101,01,017,61.0
Cherokee County,Alabama,74.8083588255097,01,019,97.0
Chilton County,Alabama,74.361687582335,01,021,178.0
Choctaw County,Alabama,74.767407753043,01,023,0.0
Clarke County,Alabama,75.234900184891,01,025,0.0
Clay County,Alabama,74.7573360142862,01,027,103.0
Cleburne County,Alabama,74.1228766542021,01,029,53.0
Coffee County,Alabama,76.7812212244236,01,031,445.0
Colbert County,Alabama,74.7421988900332,01,033,360.0
Conecuh County,Alabama,73.8726045151823,01,035,71.0
Coosa County,Alabama,75.2580877653134,01,037,7.0
Covington County,Alabama,74.8659701913572,01,039,196.0
Crenshaw County,Alabama,74.4189555245288,01,041,107.0
Cullman County,Alabama,74.9300732935393,01,043,354.0
Dale County,Alabama,75.9998085962609,01,045,192.0
Dallas County,Alabama,72.1686309532854,01,047,42.0
DeKalb County,Alabama,74.7318781453857,01,049,893.0
Elmore County,Alabama,75.9399909370708,01,051,364.0
Escambia County,Alabama,73.7808302047218,01,053,1262.0
Etowah County,Alabama,73.3708247850727,01,055,373.0
Fayette County,Alabama,74.0659626546655,01,057,0.0
Franklin County,Alabama,73.5137577154115,01,059,206.0
Geneva County,Alabama,75.0218977493571,01,061,58.0
Greene County,Alabama,74.4811078615176,01,063,34.0
Hale County,Alabama,74.1560323615994,01,065,36.0
Henry County,Alabama,75.7543594558265,01,067,0.0
Houston County,Alabama,76.559115914522,01,069,390.0
Jackson County,Alabama,73.5264035395202,01,071,974.0
Jefferson County,Alabama,74.9798554080244,01,073,1568.0
Lamar County,Alabama,74.7116839103121,01,075,37.0
