County,State,State_FIPS,County_FIPS,black_population
Autauga County,Alabama,01,001,9508
Baldwin County,Alabama,01,003,16613
Barbour County,Alabama,01,005,12911
Bibb County,Alabama,01,007,3450
Blount County,Alabama,01,009,716
Bullock County,Alabama,01,011,8110
Butler County,Alabama,01,013,8969
Calhoun County,Alabama,01,015,23928
Chambers County,Alabama,01,017,13527
Cherokee County,Alabama,01,019,1202
Chilton County,Alabama,01,021,4052
Choctaw County,Alabama,01,023,6064
Clarke County,Alabama,01,025,10990
Clay County,Alabama,01,027,2160
Cleburne County,Alabama,01,029,606
Coffee County,Alabama,01,031,8377
Colbert County,Alabama,01,033,8745
Conecuh County,Alabama,01,035,6189
Coosa County,Alabama,01,037,3874
Covington County,Alabama,01,039,4837
Crenshaw County,Alabama,01,041,2901
Cullman County,Alabama,01,043,729
Dale County,Alabama,01,045,9888
Dallas County,Alabama,01,047,30322
DeKalb County,Alabama,01,049,1120
Elmore County,Alabama,01,051,15611
Escambia County,Alabama,01,053,11936
Etowah County,Alabama,01,055,15658
Fayette County,Alabama,01,057,1954
Franklin County,Alabama,01,059,1329
Geneva County,Alabama,01,061,2711
Greene County,Alabama,01,063,7444
Hale County,Alabama,01,065,9570
Henry County,Alabama,01,067,5021
Houston County,Alabama,01,069,25150
Jackson County,Alabama,01,071,1786
Jefferson County,Alabama,01,073,274357
Lamar County,Alabama,01,075,1804
Lauderdale County,Alabama,01,077,9395
Lawrence County,Alabama,01,079,3842
Lee County,Alabama,01,081,30775
Limestone County,Alabama,01,083,10043
Lowndes County,Alabama,01,085,8566
Macon County,Alabama,01,087,18038
Madison County,Alabama,01,089,76057
Marengo County,Alabama,01,091,11309
Marion County,Alabama,01,093,892
Marshall County,Alabama,01,095,1471
Mobile County,Alabama,01,097,140847
Monroe County,Alabama,01,099,9474
Montgomery County,Alabama,01,101,122759
Morgan County,Alabama,01,103,13893
Perry County,Alabama,01,105,7368
Pickens County,Alabama,01,107,8400
Pike County,Alabama,01,109,11663
Randolph County,Alabama,01,111,4781
Russell County,Alabama,01,113,21484
Saint Clair County,Alabama,01,115,6906
Shelby County,Alabama,01,117,19271
Sumter County,Alabama,01,119,10197
Talladega County,Alabama,01,121,26278
Tallapoosa County,Alabama,01,123,11095
Tuscaloosa County,Alabama,01,125,56014
Walker County,Alabama,01,127,4082
Washington County,Alabama,01,129,4468
Wilcox County,Alabama,01,131,8763
Winston County,Alabama,01,133,75
Anchorage Municipality,Alaska,02,020,15228
Bethel Census Area,Alaska,02,050,44
Bristol Bay Borough,Alaska,02,060,0
Fairbanks North Star Borough,Alaska,02,090,4189
Haines Borough,Alaska,02,100,3
Juneau City and Borough,Alaska,02,110,234
Kenai Peninsula Borough,Alaska,02,122,302
Kodiak Island Borough,Alaska,02,150,125
Matanuska-Susitna Borough,Alaska,02,170,867
Nome Census Area,Alaska,02,180,105
North Slope Borough,Alaska,02,185,37
Sitka City and Borough,Alaska,02,220,22
Southeast Fairbanks Census Area,Alaska,02,240,156
Valdez-Cordova Census Area,Alaska,02,261,76
Wade Hampton Census Area,Alaska,02,270,9
Northwest Arctic Borough,Alaska,02,188,17
Aleutians East Borough,Alaska,02,013,406
Aleutians West Census Area,Alaska,02,016,676
Dillingham Census Area,Alaska,02,070,11
Lake and Peninsula Borough,Alaska,02,164,16
Denali Borough,Alaska,02,068,19
Yukon-Koyukuk Census Area,Alaska,02,290,4
Hoonah-Angoon Census Area,Alaska,02,105,4
Skagway Municipality,Alaska,02,230,24
Yakutat City and Borough,Alaska,02,282,0
Ketchikan Gateway Borough,Alaska,02,130,51
Petersburg Borough,Alaska,02,195,0
Prince of Wales-Hyder Census Area,Alaska,02,198,9
Wrangell City and Borough,Alaska,02,275,21
Apache County,Arizona,04,001,179
Cochise County,Arizona,04,003,4939
Coconino County,Arizona,04,005,1417
Gila County,Arizona,04,007,136
Graham County,Arizona,04,009,813
Greenlee County,Arizona,04,011,24
Maricopa County,Arizona,04,013,177978
Mohave County,Arizona,04,015,1854
Navajo County,Arizona,04,017,869
Pima County,Arizona,04,019,33329
Pinal County,Arizona,04,021,13836
Santa Cruz County,Arizona,04,023,169
Yavapai County,Arizona,04,025,1127
La Paz County,Arizona,04,012,211
Yuma County,Arizona,04,027,3774
Arkansas County,Arkansas,05,001,4712
Ashley County,Arkansas,05,003,5739
Baxter County,Arkansas,05,005,29
Benton County,Arkansas,05,007,2271
Boone County,Arkansas,05,009,63
Bradley County,Arkansas,05,011,3377
Calhoun County,Arkansas,05,013,1186
Carroll County,Arkansas,05,015,155
Chicot County,Arkansas,05,017,6615
Clark County,Arkansas,05,019,5351
Clay County,Arkansas,05,021,18
Cleburne County,Arkansas,05,023,144
Cleveland County,Arkansas,05,025,1109
Columbia County,Arkansas,05,027,9140
Conway County,Arkansas,05,029,2507
Craighead County,Arkansas,05,031,11570
Crawford County,Arkansas,05,033,811
Crittenden County,Arkansas,05,035,25083
Cross County,Arkansas,05,037,4164
Dallas County,Arkansas,05,039,3587
Desha County,Arkansas,05,041,6230
Drew County,Arkansas,05,043,5304
Faulkner County,Arkansas,05,045,10848
Franklin County,Arkansas,05,047,78
Fulton County,Arkansas,05,049,0
Garland County,Arkansas,05,051,7739
Grant County,Arkansas,05,053,496
Greene County,Arkansas,05,055,305
Hempstead County,Arkansas,05,057,6872
Hot Spring County,Arkansas,05,059,3307
Howard County,Arkansas,05,061,2894
Independence County,Arkansas,05,063,791
Izard County,Arkansas,05,065,209
Jackson County,Arkansas,05,067,3005
Jefferson County,Arkansas,05,069,41916
Johnson County,Arkansas,05,071,404
Lafayette County,Arkansas,05,073,2939
Lawrence County,Arkansas,05,075,46
Lee County,Arkansas,05,077,5909
Lincoln County,Arkansas,05,079,4328
Little River County,Arkansas,05,081,2783
Logan County,Arkansas,05,083,175
Lonoke County,Arkansas,05,085,4207
Madison County,Arkansas,05,087,48
Marion County,Arkansas,05,089,0
Miller County,Arkansas,05,091,10446
Mississippi County,Arkansas,05,093,15877
Monroe County,Arkansas,05,095,3468
Montgomery County,Arkansas,05,097,7
Nevada County,Arkansas,05,099,2995
Newton County,Arkansas,05,101,28
Ouachita County,Arkansas,05,103,10575
Perry County,Arkansas,05,105,261
Phillips County,Arkansas,05,107,14204
Pike County,Arkansas,05,109,394
Poinsett County,Arkansas,05,111,1718
Polk County,Arkansas,05,113,42
Pope County,Arkansas,05,115,1905
Prairie County,Arkansas,05,117,1181
Pulaski County,Arkansas,05,119,130584
Randolph County,Arkansas,05,121,114
Saint Francis County,Arkansas,05,123,14730
Saline County,Arkansas,05,125,4319
Scott County,Arkansas,05,127,0
Searcy County,Arkansas,05,129,0
Sebastian County,Arkansas,05,131,7551
Sevier County,Arkansas,05,133,686
Sharp County,Arkansas,05,135,77
Stone County,Arkansas,05,137,0
Union County,Arkansas,05,139,13823
Van Buren County,Arkansas,05,141,135
Washington County,Arkansas,05,143,6198
White County,Arkansas,05,145,2959
Woodruff County,Arkansas,05,147,2197
Yell County,Arkansas,05,149,259
Alameda County,California,06,001,186492
Alpine County,California,06,003,0
Amador County,California,06,005,714
Butte County,California,06,007,3220
Calaveras County,California,06,009,467
Colusa County,California,06,011,196
Contra Costa County,California,06,013,92810
Del Norte County,California,06,015,991
El Dorado County,California,06,017,1140
Fresno County,California,06,019,45704
Glenn County,California,06,021,197
Humboldt County,California,06,023,1477
Imperial County,California,06,025,5824
Inyo County,California,06,027,178
Kern County,California,06,029,45273
Kings County,California,06,031,11483
Lake County,California,06,033,1378
Lassen County,California,06,035,2989
Los Angeles County,California,06,037,852780
Madera County,California,06,039,5654
Marin County,California,06,041,7470
Mariposa County,California,06,043,99
Mendocino County,California,06,045,862
Merced County,California,06,047,9781
Modoc County,California,06,049,96
Mono County,California,06,051,118
Monterey County,California,06,053,13091
Napa County,California,06,055,2943
Nevada County,California,06,057,432
Orange County,California,06,059,48361
Placer County,California,06,061,4502
Plumas County,California,06,063,225
Riverside County,California,06,065,131258
Sacramento County,California,06,067,142676
San Benito County,California,06,069,665
San Bernardino County,California,06,071,178597
San Diego County,California,06,073,152313
San Francisco County,California,06,075,49071
San Joaquin County,California,06,077,49261
San Luis Obispo County,California,06,079,5666
San Mateo County,California,06,081,20503
Santa Barbara County,California,06,083,7976
Santa Clara County,California,06,085,44431
Santa Cruz County,California,06,087,2424
Shasta County,California,06,089,1470
Sierra County,California,06,091,37
Siskiyou County,California,06,093,577
Solano County,California,06,095,60784
Sonoma County,California,06,097,6997
Stanislaus County,California,06,099,14241
Sutter County,California,06,101,1505
Tehama County,California,06,103,374
Trinity County,California,06,105,54
Tulare County,California,06,107,6294
Tuolumne County,California,06,109,1275
Ventura County,California,06,111,14532
Yolo County,California,06,113,4610
Yuba County,California,06,115,1773
Alamosa County,Colorado,08,003,91
Archuleta County,Colorado,08,007,71
Baca County,Colorado,08,009,33
Bent County,Colorado,08,011,356
Chaffee County,Colorado,08,015,329
Cheyenne County,Colorado,08,017,0
Clear Creek County,Colorado,08,019,1
Conejos County,Colorado,08,021,36
Costilla County,Colorado,08,023,10
Crowley County,Colorado,08,025,553
Custer County,Colorado,08,027,5
Delta County,Colorado,08,029,231
Dolores County,Colorado,08,033,0
Douglas County,Colorado,08,035,3228
Eagle County,Colorado,08,037,97
Elbert County,Colorado,08,039,170
El Paso County,Colorado,08,041,35891
Fremont County,Colorado,08,043,2659
Garfield County,Colorado,08,045,404
Gilpin County,Colorado,08,047,99
Grand County,Colorado,08,049,43
Gunnison County,Colorado,08,051,52
Huerfano County,Colorado,08,055,145
Jackson County,Colorado,08,057,0
Kiowa County,Colorado,08,061,0
Kit Carson County,Colorado,08,063,229
Lake County,Colorado,08,065,91
La Plata County,Colorado,08,067,291
Larimer County,Colorado,08,069,2192
Las Animas County,Colorado,08,071,117
Lincoln County,Colorado,08,073,326
Logan County,Colorado,08,075,401
Mesa County,Colorado,08,077,856
Moffat County,Colorado,08,081,0
Montezuma County,Colorado,08,083,0
Montrose County,Colorado,08,085,192
Morgan County,Colorado,08,087,622
Otero County,Colorado,08,089,205
Ouray County,Colorado,08,091,0
Park County,Colorado,08,093,80
Phillips County,Colorado,08,095,34
Pitkin County,Colorado,08,097,12
Prowers County,Colorado,08,099,9
Pueblo County,Colorado,08,101,2847
Rio Blanco County,Colorado,08,103,2
Rio Grande County,Colorado,08,105,22
Routt County,Colorado,08,107,61
Saguache County,Colorado,08,109,20
San Miguel County,Colorado,08,113,9
Sedgwick County,Colorado,08,115,0
Summit County,Colorado,08,117,108
Teller County,Colorado,08,119,75
Washington County,Colorado,08,121,0
Yuma County,Colorado,08,125,15
Adams County,Colorado,08,001,12925
Arapahoe County,Colorado,08,005,54109
Boulder County,Colorado,08,013,2321
Broomfield County,Colorado,08,014,463
Denver County,Colorado,08,031,59749
Jefferson County,Colorado,08,059,5798
Weld County,Colorado,08,123,1913
Fairfield County,Connecticut,09,001,95224
Hartford County,Connecticut,09,003,112211
Litchfield County,Connecticut,09,005,2223
Middlesex County,Connecticut,09,007,7269
New Haven County,Connecticut,09,009,104506
New London County,Connecticut,09,011,15239
Tolland County,Connecticut,09,013,4029
Windham County,Connecticut,09,015,2063
Kent County,Delaware,10,001,36160
New Castle County,Delaware,10,003,124613
Sussex County,Delaware,10,005,24480
Alachua County,Florida,12,001,48755
Baker County,Florida,12,003,3515
Bay County,Florida,12,005,17354
Bradford County,Florida,12,007,5860
Brevard County,Florida,12,009,52758
Broward County,Florida,12,011,448777
Calhoun County,Florida,12,013,2157
Charlotte County,Florida,12,015,8641
Citrus County,Florida,12,017,3942
Clay County,Florida,12,019,17586
Collier County,Florida,12,021,21020
Columbia County,Florida,12,023,11754
Miami-Dade County,Florida,12,086,470326
DeSoto County,Florida,12,027,4583
Dixie County,Florida,12,029,989
Duval County,Florida,12,031,250792
Escambia County,Florida,12,033,66202
Flagler County,Florida,12,035,9919
Franklin County,Florida,12,037,1483
Gadsden County,Florida,12,039,25793
Gilchrist County,Florida,12,041,714
Glades County,Florida,12,043,1182
Gulf County,Florida,12,045,3115
Hamilton County,Florida,12,047,5324
Hardee County,Florida,12,049,2482
Hendry County,Florida,12,051,5874
Hernando County,Florida,12,053,8366
Highlands County,Florida,12,055,9629
Hillsborough County,Florida,12,057,196352
Holmes County,Florida,12,059,902
Indian River County,Florida,12,061,11634
Jackson County,Florida,12,063,12928
Jefferson County,Florida,12,065,5279
Lafayette County,Florida,12,067,701
Lake County,Florida,12,069,27189
Lee County,Florida,12,071,48208
Leon County,Florida,12,073,81192
Levy County,Florida,12,075,3592
Liberty County,Florida,12,077,958
Madison County,Florida,12,079,7450
Manatee County,Florida,12,081,27313
Marion County,Florida,12,083,39469
Martin County,Florida,12,085,7981
Monroe County,Florida,12,087,4698
Nassau County,Florida,12,089,4936
Okaloosa County,Florida,12,091,16908
Okeechobee County,Florida,12,093,3107
Orange County,Florida,12,095,226111
Osceola County,Florida,12,097,28224
Palm Beach County,Florida,12,099,218649
Pasco County,Florida,12,101,18549
Pinellas County,Florida,12,103,93342
Polk County,Florida,12,105,84564
Putnam County,Florida,12,107,12294
Saint Johns County,Florida,12,109,9829
Saint Lucie County,Florida,12,111,49633
Santa Rosa County,Florida,12,113,7229
Sarasota County,Florida,12,115,17082
Seminole County,Florida,12,117,43520
Sumter County,Florida,12,119,9105
Suwannee County,Florida,12,121,4336
Taylor County,Florida,12,123,4670
Union County,Florida,12,125,3383
Volusia County,Florida,12,127,49934
Wakulla County,Florida,12,129,3905
Walton County,Florida,12,131,3033
Washington County,Florida,12,133,3331
Appling County,Georgia,13,001,3510
Atkinson County,Georgia,13,003,1657
Bacon County,Georgia,13,005,1862
Baker County,Georgia,13,007,2162
Baldwin County,Georgia,13,009,19855
Banks County,Georgia,13,011,478
Barrow County,Georgia,13,013,7616
Bartow County,Georgia,13,015,9809
Ben Hill County,Georgia,13,017,6338
Berrien County,Georgia,13,019,2207
Bibb County,Georgia,13,021,78866
Bleckley County,Georgia,13,023,3824
Brantley County,Georgia,13,025,793
Brooks County,Georgia,13,027,5983
Bryan County,Georgia,13,029,3789
Bulloch County,Georgia,13,031,18312
Burke County,Georgia,13,033,11926
Butts County,Georgia,13,035,6606
Calhoun County,Georgia,13,037,3953
Camden County,Georgia,13,039,9658
Candler County,Georgia,13,043,2577
Carroll County,Georgia,13,045,19679
Catoosa County,Georgia,13,047,1343
Charlton County,Georgia,13,049,3848
Chatham County,Georgia,13,051,104583
Chattahoochee County,Georgia,13,053,2723
Chattooga County,Georgia,13,055,3050
Cherokee County,Georgia,13,057,11402
Clarke County,Georgia,13,059,30883
Clay County,Georgia,13,061,2275
Clayton County,Georgia,13,063,168502
Clinch County,Georgia,13,065,2164
Cobb County,Georgia,13,067,163830
Coffee County,Georgia,13,069,11314
Colquitt County,Georgia,13,071,10162
Columbia County,Georgia,13,073,17351
Cook County,Georgia,13,075,4880
Coweta County,Georgia,13,077,21360
Crawford County,Georgia,13,079,2983
Crisp County,Georgia,13,081,10071
Dade County,Georgia,13,083,91
Dawson County,Georgia,13,085,13
Decatur County,Georgia,13,087,11508
DeKalb County,Georgia,13,089,376790
Dodge County,Georgia,13,091,6450
Dooly County,Georgia,13,093,7328
Dougherty County,Georgia,13,095,62300
Douglas County,Georgia,13,097,48138
Early County,Georgia,13,099,5785
Echols County,Georgia,13,101,98
Effingham County,Georgia,13,103,6668
Elbert County,Georgia,13,105,6152
Emanuel County,Georgia,13,107,7553
Evans County,Georgia,13,109,3343
Fannin County,Georgia,13,111,29
Fayette County,Georgia,13,113,20293
Floyd County,Georgia,13,115,13786
Forsyth County,Georgia,13,117,4285
Franklin County,Georgia,13,119,1903
Fulton County,Georgia,13,121,389377
Gilmer County,Georgia,13,123,44
Glascock County,Georgia,13,125,265
Glynn County,Georgia,13,127,20040
Gordon County,Georgia,13,129,2159
Grady County,Georgia,13,131,7276
Greene County,Georgia,13,133,6372
Gwinnett County,Georgia,13,135,172401
Habersham County,Georgia,13,137,1632
Hall County,Georgia,13,139,12743
Hancock County,Georgia,13,141,8217
Haralson County,Georgia,13,143,1217
Harris County,Georgia,13,145,5414
Hart County,Georgia,13,147,4860
Heard County,Georgia,13,149,1220
Henry County,Georgia,13,151,66451
Houston County,Georgia,13,153,37340
Irwin County,Georgia,13,155,2570
Jackson County,Georgia,13,157,4084
Jasper County,Georgia,13,159,3085
Jeff Davis County,Georgia,13,161,2280
Jefferson County,Georgia,13,163,9461
Jenkins County,Georgia,13,165,3026
Johnson County,Georgia,13,167,3629
Jones County,Georgia,13,169,7083
Lamar County,Georgia,13,171,5517
Lanier County,Georgia,13,173,2382
Laurens County,Georgia,13,175,17107
Lee County,Georgia,13,177,4879
Liberty County,Georgia,13,179,26917
Lincoln County,Georgia,13,181,2576
Long County,Georgia,13,183,3478
Lowndes County,Georgia,13,185,37105
Lumpkin County,Georgia,13,187,413
McDuffie County,Georgia,13,189,8665
McIntosh County,Georgia,13,191,5130
Macon County,Georgia,13,193,8932
Madison County,Georgia,13,195,2257
Marion County,Georgia,13,197,2822
Meriwether County,Georgia,13,199,9154
Miller County,Georgia,13,201,1730
Mitchell County,Georgia,13,205,11365
Monroe County,Georgia,13,207,6420
Montgomery County,Georgia,13,209,2474
Morgan County,Georgia,13,211,4435
Murray County,Georgia,13,213,266
Muscogee County,Georgia,13,215,84911
Newton County,Georgia,13,217,37321
Oconee County,Georgia,13,219,1684
Oglethorpe County,Georgia,13,221,2597
Paulding County,Georgia,13,223,22070
Peach County,Georgia,13,225,12356
Pickens County,Georgia,13,227,349
Pierce County,Georgia,13,229,1819
Pike County,Georgia,13,231,1902
Polk County,Georgia,13,233,5201
Pulaski County,Georgia,13,235,3825
Putnam County,Georgia,13,237,5826
Quitman County,Georgia,13,239,1395
Rabun County,Georgia,13,241,198
Randolph County,Georgia,13,243,4689
Richmond County,Georgia,13,245,106738
Rockdale County,Georgia,13,247,35754
Schley County,Georgia,13,249,1098
Screven County,Georgia,13,251,6483
Seminole County,Georgia,13,253,3075
Spalding County,Georgia,13,255,20840
Stephens County,Georgia,13,257,2966
Stewart County,Georgia,13,259,3656
Sumter County,Georgia,13,261,17014
Talbot County,Georgia,13,263,4213
Taliaferro County,Georgia,13,265,1169
Tattnall County,Georgia,13,267,7030
Taylor County,Georgia,13,269,3560
Telfair County,Georgia,13,271,6080
Terrell County,Georgia,13,273,5938
Thomas County,Georgia,13,275,16525
Tift County,Georgia,13,277,11541
Toombs County,Georgia,13,279,6782
Towns County,Georgia,13,281,73
Treutlen County,Georgia,13,283,2254
Troup County,Georgia,13,285,22019
Turner County,Georgia,13,287,3783
Twiggs County,Georgia,13,289,3998
Union County,Georgia,13,291,220
Upson County,Georgia,13,293,7617
Walker County,Georgia,13,295,2782
Walton County,Georgia,13,297,12956
Ware County,Georgia,13,299,10378
Warren County,Georgia,13,301,3733
Washington County,Georgia,13,303,11184
Wayne County,Georgia,13,305,6027
Webster County,Georgia,13,307,935
Wheeler County,Georgia,13,309,3046
