County,State,mean_life_expectancy,State_FIPS,County_FIPS
Autauga County,Alabama,75.7284893496437,01,001
Baldwin County,Alabama,77.8266077389985,01,003
Barbour County,Alabama,75.8419733495584,01,005
Bibb County,Alabama,73.7054319135083,01,007
Blount County,Alabama,75.7534073356519,01,009
Bullock County,Alabama,74.1878555422018,01,011
Butler County,Alabama,73.7942747470726,01,013
Calhoun County,Alabama,73.7141138064562,01,015
Chambers County,Alabama,74.2114088602915,01,017
Cherokee County,Alabama,74.939245488683,01,019
Chilton County,Alabama,74.1196504152812,01,021
Choctaw County,Alabama,75.0365582510592,01,023
Clarke County,Alabama,75.4688528363398,01,025
Clay County,Alabama,74.6375360717315,01,027
Cleburne County,Alabama,74.1098063725025,01,029
Coffee County,Alabama,76.6753737695232,01,031
Colbert County,Alabama,75.0527971236638,01,033
Conecuh County,Alabama,74.2911586115853,01,035
Coosa County,Alabama,75.226495991597,01,037
Covington County,Alabama,74.9876206618781,01,039
Crenshaw County,Alabama,74.4134467139757,01,041
Cullman County,Alabama,75.0615131095318,01,043
Dale County,Alabama,76.3776327012046,01,045
Dallas County,Alabama,72.194894622946,01,047
DeKalb County,Alabama,74.9326878731946,01,049
Elmore County,Alabama,76.0549835788085,01,051
Escambia County,Alabama,74.0725339506569,01,053
Etowah County,Alabama,73.3996908564453,01,055
Fayette County,Alabama,74.0149767995414,01,057
Franklin County,Alabama,73.7394410955062,01,059
Geneva County,Alabama,75.4172958217931,01,061
Greene County,Alabama,74.8685230692577,01,063
Hale County,Alabama,73.9966180629542,01,065
Henry County,Alabama,75.7246477387624,01,067
Houston County,Alabama,76.5737904802643,01,069
Jackson County,Alabama,74.0563044756205,01,071
Jefferson County,Alabama,74.7820532769035,01,073
Lamar County,Alabama,74.6933066413968,01,075
Lauderdale County,Alabama,76.6078053607857,01,077
Lawrence County,Alabama,74.4321291064937,01,079
Lee County,Alabama,77.3142074688178,01,081
Limestone County,Alabama,77.3549249793374,01,083
Lowndes County,Alabama,72.6625382940929,01,085
Macon County,Alabama,73.3766639403125,01,087
