County,State,mean_life_expectancy,State_FIPS,County_FIPS
Autauga County,Alabama,75.4925202386462,01,001
Baldwin County,Alabama,77.8423650015963,01,003
Barbour County,Alabama,75.595637249946,01,005
Bibb County,Alabama,74.0344688193408,01,007
Blount County,Alabama,75.6391619533487,01,009
Bullock County,Alabama,74.2739554960482,01,011
Butler County,Alabama,73.9651089293776,01,013
Calhoun County,Alabama,73.7077867258585,01,015
Chambers County,Alabama,74.4230989860951,01,017
Cherokee County,Alabama,74.7404282767045,01,019
Chilton County,Alabama,74.1199930791932,01,021
Choctaw County,Alabama,74.8739015887257,01,023
Clarke County,Alabama,75.1733956125784,01,025
Clay County,Alabama,74.5835545620861,01,027
Cleburne County,Alabama,73.99284382415,01,029
Coffee County,Alabama,76.6942751463285,01,031
Colbert County,Alabama,74.8238293093218,01,033
Conecuh County,Alabama,74.0532621622411,01,035
Coosa County,Alabama,75.1465003344996,01,037
Covington County,Alabama,74.8776850693277,01,039
Crenshaw County,Alabama,74.4794946106318,01,041
Cullman County,Alabama,75.0756292766288,01,043
Dale County,Alabama,76.2768130036991,01,045
Dallas County,Alabama,72.235261755232,01,047
DeKalb County,Alabama,74.9031637918789,01,049
Elmore County,Alabama,76.006670130727,01,051
Escambia County,Alabama,73.9757187398604,01,053
Etowah County,Alabama,73.1926894093852,01,055
Fayette County,Alabama,74.0691470655125,01,057
Franklin County,Alabama,73.5155138620992,01,059
Geneva County,Alabama,75.2038597049172,01,061
Greene County,Alabama,74.7905165682512,01,063
Hale County,Alabama,73.9972175612381,01,065
Henry County,Alabama,75.8708425808874,01,067
Houston County,Alabama,76.616969512427,01,069
Jackson County,Alabama,73.902912256868,01,071
Jefferson County,Alabama,74.8474881281237,01,073
Lamar County,Alabama,74.5387684952581,01,075
Lauderdale County,Alabama,76.3843412364742,01,077
Lawrence County,Alabama,74.2129180532987,01,079
Lee County,Alabama,77.4549108600718,01,081
Limestone County,Alabama,77.348319890165,01,083
Lowndes County,Alabama,72.6244859474175,01,085
Macon County,Alabama,73.4280627744793,01,087
Madison County,Alabama,77.6992974224652,01,089
Marengo County,Alabama,74.5278615104106,01,091
Marion County,Alabama,74.1234171377667,01,093
Marshall County,Alabama,74.3001979427162,01,095
Mobile County,Alabama,74.9149549272942,01,097
Monroe County,Alabama,74.7920267077012,01,099
Montgomery County,Alabama,75.9982488576629,01,101
Morgan County,Alabama,75.7393066012219,01,103
Perry County,Alabama,72.0453479786758,01,105
Pickens County,Alabama,74.4924703008447,01,107
Pike County,Alabama,75.2094376041272,01,109
Randolph County,Alabama,74.3394231961671,01,111
Russell County,Alabama,74.2334807846123,01,113
Saint Clair County,Alabama,75.0300922079924,01,115
Shelby County,Alabama,79.449081362012,01,117
Sumter County,Alabama,74.3528262695393,01,119
Talladega County,Alabama,73.5699031984182,01,121
Tallapoosa County,Alabama,75.203249180528,01,123
Tuscaloosa County,Alabama,75.8501886313988,01,125
Walker County,Alabama,71.0181510568618,01,127
Washington County,Alabama,74.8067637832947,01,129
Wilcox County,Alabama,72.0536154564202,01,131
Winston County,Alabama,74.1440252424602,01,133
Anchorage Municipality,Alaska,78.8017232861084,02,020
Bethel Census Area,Alaska,73.1183311441142,02,050
Bristol Bay Borough,Alaska,75.432481754459,02,060
Fairbanks North Star Borough,Alaska,79.1566647527537,02,090
Haines Borough,Alaska,79.7069928292661,02,100
Juneau City and Borough,Alaska,79.5747497801166,02,110
Kenai Peninsula Borough,Alaska,78.3717930613568,02,122
Kodiak Island Borough,Alaska,78.8538789925603,02,150
Matanuska-Susitna Borough,Alaska,78.1819189619962,02,170
Nome Census Area,Alaska,71.5435971321811,02,180
North Slope Borough,Alaska,75.3377516241161,02,185
Sitka City and Borough,Alaska,79.8457926995286,02,220
Southeast Fairbanks Census Area,Alaska,77.8716897175904,02,240
Valdez-Cordova Census Area,Alaska,77.7656906882338,02,261
Wade Hampton Census Area,Alaska,69.5103676101187,02,270
Northwest Arctic Borough,Alaska,73.2556579451924,02,188
Aleutians East Borough,Alaska,82.8789590186837,02,013
Aleutians West Census Area,Alaska,82.8789590186837,02,016
Dillingham Census Area,Alaska,74.0767865293266,02,070
Lake and Peninsula Borough,Alaska,74.0767865293266,02,164
Denali Borough,Alaska,73.4348687994712,02,068
