County,State,State_FIPS,County_FIPS,poverty_rate
Autauga County,Alabama,01,001,12.1
Baldwin County,Alabama,01,003,13.9
Barbour County,Alabama,01,005,26.7
Bibb County,Alabama,01,007,18.1
Blount County,Alabama,01,009,15.8
Bullock County,Alabama,01,011,21.6
Butler County,Alabama,01,013,28.4
Calhoun County,Alabama,01,015,21.9
Chambers County,Alabama,01,017,24.1
Cherokee County,Alabama,01,019,21.2
Chilton County,Alabama,01,021,19.5
Choctaw County,Alabama,01,023,21.5
Clarke County,Alabama,01,025,29.3
Clay County,Alabama,01,027,19.0
Cleburne County,Alabama,01,029,18.4
Coffee County,Alabama,01,031,18.6
Colbert County,Alabama,01,033,17.9
Conecuh County,Alabama,01,035,32.7
Coosa County,Alabama,01,037,20.9
Covington County,Alabama,01,039,20.0
Crenshaw County,Alabama,01,041,19.1
Cullman County,Alabama,01,043,18.8
Dale County,Alabama,01,045,17.4
Dallas County,Alabama,01,047,35.5
DeKalb County,Alabama,01,049,19.9
Elmore County,Alabama,01,051,13.4
Escambia County,Alabama,01,053,25.4
Etowah County,Alabama,01,055,19.0
Fayette County,Alabama,01,057,19.9
Franklin County,Alabama,01,059,21.9
Geneva County,Alabama,01,061,21.2
Greene County,Alabama,01,063,32.9
Hale County,Alabama,01,065,26.6
Henry County,Alabama,01,067,14.4
Houston County,Alabama,01,069,18.0
Jackson County,Alabama,01,071,16.0
Jefferson County,Alabama,01,073,18.0
Lamar County,Alabama,01,075,22.3
Lauderdale County,Alabama,01,077,17.2
Lawrence County,Alabama,01,079,17.5
Lee County,Alabama,01,081,22.0
Limestone County,Alabama,01,083,14.7
Lowndes County,Alabama,01,085,26.7
Macon County,Alabama,01,087,27.3
Madison County,Alabama,01,089,12.8
Marengo County,Alabama,01,091,24.0
Marion County,Alabama,01,093,20.9
Marshall County,Alabama,01,095,19.5
Mobile County,Alabama,01,097,19.8
Monroe County,Alabama,01,099,28.6
Montgomery County,Alabama,01,101,21.2
Morgan County,Alabama,01,103,15.7
Perry County,Alabama,01,105,25.6
Pickens County,Alabama,01,107,27.2
