County,State,State_FIPS,County_FIPS,disability_rate
Autauga County,Alabama,01,001,
Baldwin County,Alabama,01,003,12.7
Barbour County,Alabama,01,005,
Bibb County,Alabama,01,007,
Blount County,Alabama,01,009,
Bullock County,Alabama,01,011,
Butler County,Alabama,01,013,
Calhoun County,Alabama,01,015,19.8
Chambers County,Alabama,01,017,
Cherokee County,Alabama,01,019,
Chilton County,Alabama,01,021,
Choctaw County,Alabama,01,023,
Clarke County,Alabama,01,025,
Clay County,Alabama,01,027,
Cleburne County,Alabama,01,029,
Coffee County,Alabama,01,031,
Colbert County,Alabama,01,033,
Conecuh County,Alabama,01,035,
Coosa County,Alabama,01,037,
Covington County,Alabama,01,039,
Crenshaw County,Alabama,01,041,
Cullman County,Alabama,01,043,16.9
Dale County,Alabama,01,045,
Dallas County,Alabama,01,047,
DeKalb County,Alabama,01,049,13.5
Elmore County,Alabama,01,051,15.1
Escambia County,Alabama,01,053,
Etowah County,Alabama,01,055,22.4
Fayette County,Alabama,01,057,
Franklin County,Alabama,01,059,
Geneva County,Alabama,01,061,
Greene County,Alabama,01,063,
Hale County,Alabama,01,065,
Henry County,Alabama,01,067,
Houston County,Alabama,01,069,17.9
Jackson County,Alabama,01,071,
Jefferson County,Alabama,01,073,14.0
Lamar County,Alabama,01,075,
Lauderdale County,Alabama,01,077,16.2
Lawrence County,Alabama,01,079,
Lee County,Alabama,01,081,11.9
Limestone County,Alabama,01,083,11.0
Lowndes County,Alabama,01,085,
Macon County,Alabama,01,087,
Madison County,Alabama,01,089,12.3
Marengo County,Alabama,01,091,
Marion County,Alabama,01,093,
Marshall County,Alabama,01,095,17.8
Mobile County,Alabama,01,097,14.8
Monroe County,Alabama,01,099,
Montgomery County,Alabama,01,101,15.9
Morgan County,Alabama,01,103,15.9
Perry County,Alabama,01,105,
Pickens County,Alabama,01,107,
Pike County,Alabama,01,109,
Randolph County,Alabama,01,111,
Russell County,Alabama,01,113,
Saint Clair County,Alabama,01,115,17.7
Shelby County,Alabama,01,117,10.3
Sumter County,Alabama,01,119,
Talladega County,Alabama,01,121,21.0
Tallapoosa County,Alabama,01,123,
Tuscaloosa County,Alabama,01,125,12.8
Walker County,Alabama,01,127,23.4
Washington County,Alabama,01,129,
Wilcox County,Alabama,01,131,
Winston County,Alabama,01,133,
Anchorage Municipality,Alaska,02,020,8.6
Bethel Census Area,Alaska,02,050,
Bristol Bay Borough,Alaska,02,060,
Fairbanks North Star Borough,Alaska,02,090,12.3
Haines Borough,Alaska,02,100,
Juneau City and Borough,Alaska,02,110,
Kenai Peninsula Borough,Alaska,02,122,
Kodiak Island Borough,Alaska,02,150,
Matanuska-Susitna Borough,Alaska,02,170,10.2
Nome Census Area,Alaska,02,180,
North Slope Borough,Alaska,02,185,
Sitka City and Borough,Alaska,02,220,
Southeast Fairbanks Census Area,Alaska,02,240,
Valdez-Cordova Census Area,Alaska,02,261,
Wade Hampton Census Area,Alaska,02,270,
Northwest Arctic Borough,Alaska,02,188,
Aleutians East Borough,Alaska,02,013,
Aleutians West Census Area,Alaska,02,016,
Dillingham Census Area,Alaska,02,070,
Lake and Peninsula Borough,Alaska,02,164,
Denali Borough,Alaska,02,068,
Yukon-Koyukuk Census Area,Alaska,02,290,
Hoonah-Angoon Census Area,Alaska,02,105,
Skagway Municipality,Alaska,02,230,
Yakutat City and Borough,Alaska,02,282,
Ketchikan Gateway Borough,Alaska,02,130,
Petersburg Borough,Alaska,02,195,
Prince of Wales-Hyder Census Area,Alaska,02,198,
Wrangell City and Borough,Alaska,02,275,
Apache County,Arizona,04,001,15.5
Cochise County,Arizona,04,003,16.3
Coconino County,Arizona,04,005,9.2
Gila County,Arizona,04,007,
Graham County,Arizona,04,009,
Greenlee County,Arizona,04,011,
Maricopa County,Arizona,04,013,9.9
Mohave County,Arizona,04,015,17.6
Navajo County,Arizona,04,017,17.1
Pima County,Arizona,04,019,13.8
Pinal County,Arizona,04,021,12.6
Santa Cruz County,Arizona,04,023,
Yavapai County,Arizona,04,025,15.8
La Paz County,Arizona,04,012,
Yuma County,Arizona,04,027,11.9
Arkansas County,Arkansas,05,001,
Ashley County,Arkansas,05,003,
Baxter County,Arkansas,05,005,
Benton County,Arkansas,05,007,8.8
Boone County,Arkansas,05,009,
Bradley County,Arkansas,05,011,
Calhoun County,Arkansas,05,013,
Carroll County,Arkansas,05,015,
Chicot County,Arkansas,05,017,
Clark County,Arkansas,05,019,
Clay County,Arkansas,05,021,
Cleburne County,Arkansas,05,023,
Cleveland County,Arkansas,05,025,
Columbia County,Arkansas,05,027,
Conway County,Arkansas,05,029,
Craighead County,Arkansas,05,031,13.9
