County,State,mean_life_expectancy,State_FIPS,County_FIPS,disability_rate
Autauga County,Alabama,76.3458016126412,01,001,19.3
Baldwin County,Alabama,78.1131187069305,01,003,14.0
Barbour County,Alabama,74.7743309934985,01,005,22.2
Bibb County,Alabama,73.7903133744892,01,007,16.7
Blount County,Alabama,75.013449464969,01,009,14.2
Bullock County,Alabama,73.6842860486569,01,011,14.4
Butler County,Alabama,73.9019445955979,01,013,17.7
Calhoun County,Alabama,73.4088629777792,01,015,20.8
Chambers County,Alabama,74.5258741295021,01,017,16.7
Cherokee County,Alabama,74.4293661472186,01,019,20.0
Chilton County,Alabama,74.3574576379216,01,021,17.7
Choctaw County,Alabama,74.5791676770029,01,023,28.4
Clarke County,Alabama,74.8950304256062,01,025,17.1
Clay County,Alabama,74.5316289536644,01,027,15.3
Cleburne County,Alabama,74.3862420952093,01,029,22.6
Coffee County,Alabama,76.3613073583135,01,031,17.7
Colbert County,Alabama,74.531880399761,01,033,18.7
Conecuh County,Alabama,73.5208362803517,01,035,22.8
Coosa County,Alabama,75.5688098046964,01,037,22.6
Covington County,Alabama,74.094051609186,01,039,20.9
Crenshaw County,Alabama,74.1434109951944,01,041,21.1
Cullman County,Alabama,74.4187888904678,01,043,17.6
Dale County,Alabama,75.6212203924387,01,045,21.3
Dallas County,Alabama,72.300300454957,01,047,17.8
DeKalb County,Alabama,74.664298896307,01,049,15.5
Elmore County,Alabama,76.0666411732753,01,051,17.9
Escambia County,Alabama,73.1785510386588,01,053,18.8
Etowah County,Alabama,73.310801891145,01,055,19.6
Fayette County,Alabama,73.7501826390878,01,057,25.7
Franklin County,Alabama,73.6994529156054,01,059,15.5
Geneva County,Alabama,74.2429861050731,01,061,21.5
Greene County,Alabama,74.0541627291715,01,063,25.1
Hale County,Alabama,73.8211347225773,01,065,21.1
Henry County,Alabama,75.5345409164455,01,067,18.7
Houston County,Alabama,76.2003724907021,01,069,17.8
Jackson County,Alabama,73.4860798339663,01,071,18.8
Jefferson County,Alabama,74.8266754858777,01,073,15.5
Lamar County,Alabama,74.6405751275356,01,075,24.4
Lauderdale County,Alabama,76.2332477342409,01,077,14.7
Lawrence County,Alabama,73.8448626457253,01,079,20.5
Lee County,Alabama,77.6449270835747,01,081,13.2
Limestone County,Alabama,77.5937481419663,01,083,16.3
Lowndes County,Alabama,72.0555793694128,01,085,25.0
Macon County,Alabama,73.143855116616,01,087,17.3
Madison County,Alabama,77.6056196958447,01,089,13.1
Marengo County,Alabama,73.5140531961641,01,091,25.0
Marion County,Alabama,74.2254868593688,01,093,25.9
Marshall County,Alabama,74.360519855914,01,095,15.5
Mobile County,Alabama,74.9863591340308,01,097,14.0
Monroe County,Alabama,74.9978896242308,01,099,13.8
Montgomery County,Alabama,76.1656562262215,01,101,16.2
